"zip","Loss"
"01451",3328.530626
"01452",1389.72947
"01453",84362.288727
"01460",52849.05194
"01462",6084.565436
"01463",7090.649152
"01464",7746.888627
"01468",1271.974934
"01469",3441.895358
"01473",2469.912335
"01474",580.314807
"01475",3731.191647
"01501",40828.412091
"01503",7056.584954
"01504",4248.065311
"01505",2440.148319
"01506",1007.70609
"01507",28673.44736
"01510",22730.591331
"01515",756.545576
"01516",3174.690736
"01518",915.835331
"01519",3508.286663
"01520",9630.411864
"01521",1066.599855
"01522",788.636638
"01523",5855.101
"01524",4056.364333
"01527",17404.982238
"01529",1301.583309
"01531",210.336087
"01532",83093.46992
"01534",2388.806562
"01535",2064.965306
"01536",4952.116569
"01537",951.648879
"01540",10783.581639
"01541",1519.75292
"01542",857.529576
"01543",3243.658708
"01545",36881.423595
"01550",9636.076681
"01560",1541.027158
"01562",5535.942911
"01564",13823.032916
"01566",14321.125594
"01568",4027.097155
"01569",7541.403071
"01570",16504.946575
"01571",3352.27802
"01581",131024.101781
"01583",17792.727786
"01585",3295.954165
"01588",5955.325685
"01590",3419.151149
"01602",16193.38895
"01603",11011.265628
"01604",30304.933221
"01605",53680.00983
"01606",25835.948747
"01607",7546.405674
"01608",3701.079855
"01609",27134.499378
"01610",13045.173527
"01611",488.6734
"01612",1366.788897
"01701",187140.761142
"01702",110879.267984
"01704",200.619305
"01718",91.852917
"01719",9148.518615
"01720",29106.27785
"01721",17489.189147
"01730",82218.111174
"01731",199.605052
"01740",2927.05633
"01741",3476.183746
"01742",17633.210032
"01745",500.696602
"01746",11274.853677
"01747",5648.095336
"01748",17263.12173
"01749",20435.168601
"01752",236943.69787
"01754",23619.478876
"01756",2754.084757
"01757",41268.285296
"01760",103089.116402
"01770",3155.038031
"01772",11521.691164
"01773",12672.946744
"01775",4190.157907
"01776",40422.068249
"01778",14926.302597
"01801",112107.442423
"01803",181183.837683
"01810",351420.516459
"01821",90835.922048
"01824",72898.217944
"01826",11742.632475
"01827",1276.804576
"01830",24351.822069
"01832",20576.472974
"01833",5982.173278
"01834",5666.980867
"01835",20492.943259
"01840",24912.700862
"01841",16939.907715
"01843",20516.669056
"01844",53753.753635
"01845",74189.380007
"01850",10200.104825
"01851",14634.4371
"01852",25086.907903
"01854",61127.457851
"01860",2016.484314
"01862",33291.247637
