"zip","Loss"
"02367",30143.3368
"02368",855006.9098
"02370",442086.3335
"02375",169962.5967
"02379",241153.0389
"02382",341686.4768
"02420",500229.4819
"02421",1603489.1559
"02445",344714.6243
"02446",571079.4971
"02451",6607213.3911
"02452",613641.114
"02453",1422778.9757
"02458",548654.617
"02459",847518.6573
"02460",533762.3536
"02461",393324.58
"02462",114590.2731
"02464",275680.7794
"02465",238461.1591
"02466",319789.2677
"02467",1713961.7568
"02468",72856.407
"02472",1875480.878
"02474",648561.7718
"02476",517347.6363
"02478",620381.1019
"02481",763726.8104
"02482",463814.2388
"02492",638024.3941
"02493",494872.5689
"02494",1670072.7608
"02532",553784.9878
"02535",100593.6779
"02536",397285.428
"02537",54709.0499
"02538",292896.6444
"02539",3438821.2562
"02540",2646017.0368
"02542",756.432
"02543",294037.0258
"02554",2382077.5358
"02556",1180561.5438
"02559",239567.5919
"02562",28177.0274
"02563",232601.5464
"02568",405729.6228
"02571",2942780.1151
"02575",22129.578
"02576",34447.627
"02601",6825692.7115
"02630",56163.2824
"02631",244899.9795
"02632",789278.9153
"02633",707440.1579
"02635",83518.6382
"02638",158584.466
"02639",218360.9421
"02642",99458.0693
"02644",26443.4324
"02645",1280947.4676
"02646",153917.0872
"02648",123225.4807
"02649",1908679.3225
"02650",22022.5684
"02652",12172.7366
"02653",419577.2822
"02655",235261.693
"02657",210474.0373
"02659",36220.7555
"02660",661986.3422
"02664",2442948.4463
"02666",20803.63
"02667",107186.8506
"02668",38534.8188
"02670",585178.2165
"02671",63724.8496
"02673",477533.1335
"02675",370962.7597
"02702",42669.1352
"02703",1167049.2086
"02713",21755.1803
"02715",30619.6934
"02717",26735.7803
"02718",162909.0088
"02719",1013244.1122
"02720",3803711.9214
"02721",1850574.2795
"02723",1157062.2926
"02724",1934494.5852
"02725",208211.6673
"02726",355934.0916
"02738",860200.1747
"02739",569334.1999
"02740",1564464.3379
"02743",104600.614
"02744",590808.4557
"02745",1102509.6485
"02746",737612.4941
"02747",1366279.3782
"02748",415209.5358
